"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"180","12/01/18","Getafe","Malaga",1,0,"H"
"181","13/01/18","Eibar","Ath Madrid",0,1,"A"
"182","13/01/18","Girona","Las Palmas",6,0,"H"
"183","13/01/18","La Coruna","Valencia",1,2,"A"
"184","13/01/18","Real Madrid","Villarreal",0,1,"A"
"185","14/01/18","Alaves","Sevilla",1,0,"H"
"186","14/01/18","Espanol","Ath Bilbao",1,1,"D"
"187","14/01/18","Levante","Celta",0,1,"A"
"188","14/01/18","Sociedad","Barcelona",2,4,"A"
"189","15/01/18","Betis","Leganes",3,2,"H"
"190","19/01/18","Getafe","Ath Bilbao",2,2,"D"
"191","20/01/18","Ath Madrid","Girona",1,1,"D"
"192","20/01/18","Espanol","Sevilla",0,3,"A"
"193","20/01/18","Las Palmas","Valencia",2,1,"H"
"194","20/01/18","Villarreal","Levante",2,1,"H"
"195","21/01/18","Alaves","Leganes",2,2,"D"
"196","21/01/18","Betis","Barcelona",0,5,"A"
"197","21/01/18","Real Madrid","La Coruna",7,1,"H"
"198","21/01/18","Sociedad","Celta",1,2,"A"
"199","22/01/18","Eibar","Malaga",1,1,"D"
"200","26/01/18","Ath Bilbao","Eibar",1,1,"D"
"201","27/01/18","La Coruna","Levante",2,2,"D"
"202","27/01/18","Malaga","Girona",0,0,"D"
"203","27/01/18","Valencia","Real Madrid",1,4,"A"
"204","27/01/18","Villarreal","Sociedad",4,2,"H"
"205","28/01/18","Ath Madrid","Las Palmas",3,0,"H"
"206","28/01/18","Barcelona","Alaves",2,1,"H"
"207","28/01/18","Leganes","Espanol",3,2,"H"
"208","28/01/18","Sevilla","Getafe",1,1,"D"
"209","29/01/18","Celta","Betis",3,2,"H"
"210","02/02/18","Sociedad","La Coruna",5,0,"H"
"211","03/02/18","Alaves","Celta",2,1,"H"
"212","03/02/18","Betis","Villarreal",2,1,"H"
"213","03/02/18","Eibar","Sevilla",5,1,"H"
"214","03/02/18","Levante","Real Madrid",2,2,"D"
"215","04/02/18","Ath Madrid","Valencia",1,0,"H"
"216","04/02/18","Espanol","Barcelona",1,1,"D"
"217","04/02/18","Getafe","Leganes",0,0,"D"
"218","04/02/18","Girona","Ath Bilbao",2,0,"H"
"219","05/02/18","Las Palmas","Malaga",1,0,"H"
"220","09/02/18","Ath Bilbao","Las Palmas",0,0,"D"
"221","10/02/18","Leganes","Eibar",0,1,"A"
"222","10/02/18","Malaga","Ath Madrid",0,1,"A"
"223","10/02/18","Real Madrid","Sociedad",5,2,"H"
"224","10/02/18","Villarreal","Alaves",1,2,"A"
"225","11/02/18","Barcelona","Getafe",0,0,"D"
"226","11/02/18","Celta","Espanol",2,2,"D"
"227","11/02/18","Sevilla","Girona",1,0,"H"
"228","11/02/18","Valencia","Levante",3,1,"H"
"229","12/02/18","La Coruna","Betis",0,1,"A"
"230","16/02/18","Girona","Leganes",3,0,"H"
"231","17/02/18","Alaves","La Coruna",1,0,"H"
"232","17/02/18","Eibar","Barcelona",0,2,"A"
"233","17/02/18","Las Palmas","Sevilla",1,2,"A"
"234","17/02/18","Malaga","Valencia",1,2,"A"
"235","18/02/18","Ath Madrid","Ath Bilbao",2,0,"H"
"236","18/02/18","Betis","Real Madrid",3,5,"A"
"237","18/02/18","Espanol","Villarreal",1,1,"D"
"238","18/02/18","Sociedad","Levante",3,0,"H"
"239","19/02/18","Getafe","Celta",3,0,"H"
"240","21/02/18","Leganes","Real Madrid",1,3,"A"
"241","23/02/18","La Coruna","Espanol",0,0,"D"
"242","24/02/18","Barcelona","Girona",6,1,"H"
"243","24/02/18","Celta","Eibar",2,0,"H"
"244","24/02/18","Leganes","Las Palmas",0,0,"D"
"245","24/02/18","Real Madrid","Alaves",4,0,"H"
"246","25/02/18","Ath Bilbao","Malaga",2,1,"H"
"247","25/02/18","Sevilla","Ath Madrid",2,5,"A"
"248","25/02/18","Valencia","Sociedad",2,1,"H"
"249","25/02/18","Villarreal","Getafe",1,0,"H"
"250","26/02/18","Levante","Betis",0,2,"A"
"251","27/02/18","Espanol","Real Madrid",1,0,"H"
"252","27/02/18","Girona","Celta",1,0,"H"
"253","28/02/18","Ath Bilbao","Valencia",1,1,"D"
"254","28/02/18","Ath Madrid","Leganes",4,0,"H"
"255","28/02/18","Eibar","Villarreal",1,0,"H"
"256","28/02/18","Getafe","La Coruna",3,0,"H"
"257","28/02/18","Malaga","Sevilla",0,1,"A"
"258","01/03/18","Alaves","Levante",1,0,"H"
"259","01/03/18","Betis","Sociedad",0,0,"D"
"260","01/03/18","Las Palmas","Barcelona",1,1,"D"
"261","03/03/18","La Coruna","Eibar",1,1,"D"
"262","03/03/18","Leganes","Malaga",2,0,"H"
"263","03/03/18","Real Madrid","Getafe",3,1,"H"
"264","03/03/18","Sevilla","Ath Bilbao",2,0,"H"
"265","03/03/18","Villarreal","Girona",0,2,"A"
"266","04/03/18","Barcelona","Ath Madrid",1,0,"H"
"267","04/03/18","Levante","Espanol",1,1,"D"
"268","04/03/18","Sociedad","Alaves",2,1,"H"
"269","04/03/18","Valencia","Betis",2,0,"H"
"270","05/03/18","Celta","Las Palmas",2,1,"H"
"271","09/03/18","Girona","La Coruna",2,0,"H"
"272","10/03/18","Eibar","Real Madrid",1,2,"A"
"273","10/03/18","Getafe","Levante",0,1,"A"
"274","10/03/18","Malaga","Barcelona",0,2,"A"
"275","10/03/18","Sevilla","Valencia",0,2,"A"
"276","11/03/18","Ath Bilbao","Leganes",2,0,"H"
"277","11/03/18","Ath Madrid","Celta",3,0,"H"
"278","11/03/18","Espanol","Sociedad",2,1,"H"
"279","11/03/18","Las Palmas","Villarreal",0,2,"A"
"280","12/03/18","Alaves","Betis",1,3,"A"
"281","16/03/18","Levante","Eibar",2,1,"H"
"282","17/03/18","Betis","Espanol",3,0,"H"
"283","17/03/18","La Coruna","Las Palmas",1,1,"D"
"284","17/03/18","Sociedad","Getafe",1,2,"A"
"285","17/03/18","Valencia","Alaves",3,1,"H"
"286","18/03/18","Barcelona","Ath Bilbao",2,0,"H"
"287","18/03/18","Celta","Malaga",0,0,"D"
"288","18/03/18","Leganes","Sevilla",2,1,"H"
"289","18/03/18","Real Madrid","Girona",6,3,"H"
"290","18/03/18","Villarreal","Ath Madrid",2,1,"H"
"291","31/03/18","Ath Bilbao","Celta",1,1,"D"
"292","31/03/18","Girona","Levante",1,1,"D"
"293","31/03/18","Las Palmas","Real Madrid",0,3,"A"
"294","31/03/18","Sevilla","Barcelona",2,2,"D"
"295","01/04/18","Ath Madrid","La Coruna",1,0,"H"
"296","01/04/18","Eibar","Sociedad",0,0,"D"
"297","01/04/18","Espanol","Alaves",0,0,"D"
"298","01/04/18","Leganes","Valencia",0,1,"A"
"299","01/04/18","Malaga","Villarreal",1,0,"H"
"300","02/04/18","Getafe","Betis",0,1,"A"
"301","06/04/18","La Coruna","Malaga",3,2,"H"
"302","07/04/18","Alaves","Getafe",2,0,"H"
"303","07/04/18","Barcelona","Leganes",3,1,"H"
"304","07/04/18","Betis","Eibar",2,0,"H"
"305","07/04/18","Celta","Sevilla",4,0,"H"
"306","08/04/18","Levante","Las Palmas",2,1,"H"
"307","08/04/18","Real Madrid","Ath Madrid",1,1,"D"
"308","08/04/18","Sociedad","Girona",5,0,"H"
"309","08/04/18","Valencia","Espanol",1,0,"H"
"310","09/04/18","Villarreal","Ath Bilbao",1,3,"A"
"311","13/04/18","Girona","Betis",0,1,"A"
"312","14/04/18","Ath Bilbao","La Coruna",2,3,"A"
"313","14/04/18","Barcelona","Valencia",2,1,"H"
"314","14/04/18","Las Palmas","Sociedad",0,1,"A"
"315","14/04/18","Leganes","Celta",1,0,"H"
"316","14/04/18","Sevilla","Villarreal",2,2,"D"
"317","15/04/18","Ath Madrid","Levante",3,0,"H"
"318","15/04/18","Eibar","Alaves",0,1,"A"
"319","15/04/18","Getafe","Espanol",1,0,"H"
"320","15/04/18","Malaga","Real Madrid",1,2,"A"
"321","17/04/18","Celta","Barcelona",2,2,"D"
"322","17/04/18","La Coruna","Sevilla",0,0,"D"
"323","17/04/18","Villarreal","Leganes",2,1,"H"
"324","18/04/18","Espanol","Eibar",0,1,"A"
"325","18/04/18","Real Madrid","Ath Bilbao",1,1,"D"
"326","18/04/18","Valencia","Getafe",1,2,"A"
"327","19/04/18","Alaves","Girona",1,2,"A"
"328","19/04/18","Betis","Las Palmas",1,0,"H"
"329","19/04/18","Levante","Malaga",1,0,"H"
"330","19/04/18","Sociedad","Ath Madrid",3,0,"H"
"331","20/04/18","Leganes","La Coruna",0,0,"D"
"332","21/04/18","Celta","Valencia",1,1,"D"
"333","21/04/18","Eibar","Getafe",0,1,"A"
"334","22/04/18","Ath Madrid","Betis",0,0,"D"
"335","22/04/18","Girona","Espanol",0,2,"A"
"336","22/04/18","Las Palmas","Alaves",0,4,"A"
"337","22/04/18","Malaga","Sociedad",2,0,"H"
"338","23/04/18","Ath Bilbao","Levante",1,3,"A"
"339","27/04/18","Levante","Sevilla",2,1,"H"
"340","28/04/18","Espanol","Las Palmas",1,1,"D"
"341","28/04/18","Real Madrid","Leganes",2,1,"H"
"342","28/04/18","Sociedad","Ath Bilbao",3,1,"H"
"343","28/04/18","Villarreal","Celta",4,1,"H"
"344","29/04/18","Alaves","Ath Madrid",0,1,"A"
"345","29/04/18","Getafe","Girona",1,1,"D"
"346","29/04/18","La Coruna","Barcelona",2,4,"A"
"347","29/04/18","Valencia","Eibar",0,0,"D"
"348","30/04/18","Betis","Malaga",2,1,"H"
"349","04/05/18","Sevilla","Sociedad",1,0,"H"
"350","05/05/18","Ath Bilbao","Betis",2,0,"H"
"351","05/05/18","Celta","La Coruna",1,1,"D"
"352","05/05/18","Girona","Eibar",1,4,"A"
"353","05/05/18","Villarreal","Valencia",1,0,"H"
"354","06/05/18","Ath Madrid","Espanol",0,2,"A"
"355","06/05/18","Barcelona","Real Madrid",2,2,"D"
"356","06/05/18","Las Palmas","Getafe",0,1,"A"
"357","06/05/18","Malaga","Alaves",0,3,"A"
"358","07/05/18","Leganes","Levante",0,3,"A"
"359","09/05/18","Barcelona","Villarreal",5,1,"H"
"360","09/05/18","Sevilla","Real Madrid",3,2,"H"
"361","12/05/18","Alaves","Ath Bilbao",3,1,"H"
"362","12/05/18","Betis","Sevilla",2,2,"D"
"363","12/05/18","Eibar","Las Palmas",1,0,"H"
"364","12/05/18","Getafe","Ath Madrid",0,1,"A"
"365","12/05/18","Girona","Valencia",0,1,"A"
"366","12/05/18","La Coruna","Villarreal",2,4,"A"
"367","12/05/18","Real Madrid","Celta",6,0,"H"
"368","12/05/18","Sociedad","Leganes",3,2,"H"
"369","13/05/18","Espanol","Malaga",4,1,"H"
"370","13/05/18","Levante","Barcelona",5,4,"H"
"371","19/05/18","Celta","Levante",4,2,"H"
"372","19/05/18","Las Palmas","Girona",1,2,"A"
"373","19/05/18","Leganes","Betis",3,2,"H"
"374","19/05/18","Malaga","Getafe",0,1,"A"
"375","19/05/18","Sevilla","Alaves",1,0,"H"
"376","19/05/18","Villarreal","Real Madrid",2,2,"D"
"377","20/05/18","Ath Bilbao","Espanol",0,1,"A"
"378","20/05/18","Ath Madrid","Eibar",2,2,"D"
"379","20/05/18","Barcelona","Sociedad",1,0,"H"
"380","20/05/18","Valencia","La Coruna",2,1,"H"
